ItemID,Domain,Pvalue,PBS,RaschB,Enemy
NCX0001,Basic Care & Comfort,0.5325714285714286,0.4292816156619836,-0.1412926002298533,
NCX0002,Basic Care & Comfort,0.2717142857142857,0.3624760533967289,1.129706761712345,
NCX0003,Basic Care & Comfort,0.7285714285714285,0.3776087526670439,-1.155090585931516,
NCX0004,Basic Care & Comfort,0.7358571428571429,0.3817729142002798,-1.254114651334696,
NCX0005,Basic Care & Comfort,0.6132857142857143,0.4171926020436342,-0.547116440651105,
NCX0006,Basic Care & Comfort,0.7881428571428571,0.3365153016129327,-1.553826946534061,
NCX0007,Basic Care & Comfort,0.872,0.2924551209105986,-2.258845882152554,
NCX0008,Basic Care & Comfort,0.7232857142857143,0.3632006078640122,-1.179481042436764,
NCX0009,Basic Care & Comfort,0.427,0.4149125350841525,0.3563719074321675,NCX0087
NCX0010,Basic Care & Comfort,0.4795714285714286,0.4141175597589504,0.0668685372473838,NCX0199
NCX0011,Basic Care & Comfort,0.6212857142857143,0.3900951899680716,-0.6308912992378448,
NCX0012,Basic Care & Comfort,0.7024285714285714,0.4043275460016603,-1.029195192595525,
NCX0013,Basic Care & Comfort,0.2895714285714286,0.398272668951927,1.058361415206978,
NCX0014,Basic Care & Comfort,0.735,0.3692752772749019,-1.240496770902419,
NCX0015,Basic Care & Comfort,0.4112857142857143,0.4271506859612991,0.4197807820877029,
NCX0016,Basic Care & Comfort,0.5171428571428571,0.4135813152704697,-0.1225471432214439,
NCX0017,Basic Care & Comfort,0.6528571428571428,0.405981297418634,-0.7802980061814119,
NCX0018,Basic Care & Comfort,0.797,0.3287411040511568,-1.621982184875884,
NCX0019,Basic Care & Comfort,0.653,0.3925400619597921,-0.8055662370183722,
NCX0020,Basic Care & Comfort,0.588,0.420689227990515,-0.4705162831136568,
NCX0021,Basic Care & Comfort,0.2687142857142857,0.3789570816543894,1.166234603139711,
NCX0022,Basic Care & Comfort,0.5018571428571429,0.4072655813725382,-0.0278484553135277,
NCX0023,Basic Care & Comfort,0.4275714285714285,0.4069751278942785,0.3229320331241546,NCX0063
NCX0024,Basic Care & Comfort,0.2187142857142857,0.3520043350163432,1.467578967037351,
