item_id,domain,rasch_b,pvalue,point_biserial
NCX0214,Health Promotion & Maintenance,1.186879690588957,0.2608571428571428,0.3926757610344279
NCX0215,Health Promotion & Maintenance,0.5582093664435606,0.391,0.3944787835295127
NCX0216,Health Promotion & Maintenance,1.562869184756067,0.2155714285714286,0.3617657125474331
NCX0217,Health Promotion & Maintenance,2.046829321568248,0.1471428571428571,0.3172184641424316
NCX0218,Health Promotion & Maintenance,0.396793849,0.4115714285714286,0.4063541543776725
NCX0219,Health Promotion & Maintenance,-1.044549777,0.7004285714285714,0.4012703830251159
NCX0220,Health Promotion & Maintenance,0.8096814094448406,0.3332857142857143,0.4159297820589753
NCX0221,Health Promotion & Maintenance,-1.174940775,0.7241428571428571,0.3671251512348833
NCX0222,Health Promotion & Maintenance,-0.842642204,0.6642857142857143,0.3863748465986223
NCX0223,Health Promotion & Maintenance,-1.167647999,0.7242857142857143,0.3746367418338821
NCX0224,Health Promotion & Maintenance,-0.224987931,0.5427142857142857,0.4242645282970775
NCX0225,Health Promotion & Maintenance,0.5279719103031116,0.386,0.409536969
NCX0226,Health Promotion & Maintenance,-0.277058568,0.5581428571428572,0.4207854498441894
NCX0227,Health Promotion & Maintenance,-0.42878078,0.5838571428571429,0.4125942180382818
NCX0228,Health Promotion & Maintenance,0.3849664169253607,0.4285714285714285,0.4106689608616538
NCX0229,Health Promotion & Maintenance,0.1131700753297655,0.4658571428571429,0.39579011
NCX0230,Health Promotion & Maintenance,-0.729718258,0.6365714285714286,0.4245274389133081
NCX0231,Health Promotion & Maintenance,-0.438333157,0.5924285714285714,0.4121545103308194
NCX0232,Health Promotion & Maintenance,-0.355667458,0.5685714285714286,0.4207176984964797
NCX0233,Health Promotion & Maintenance,0.8967089160325061,0.321,0.3984612284624265
NCX0234,Health Promotion & Maintenance,-1.298932988,0.741,0.3821123374415522
NCX0235,Health Promotion & Maintenance,0.5529808258816532,0.3928571428571428,0.3993643801206906
NCX0236,Health Promotion & Maintenance,-1.109566132,0.7132857142857143,0.3729826743430427
NCX0237,Health Promotion & Maintenance,-0.814229823,0.6568571428571428,0.4013087443197502
NCX0238,Health Promotion & Maintenance,-0.003607466,0.5034285714285714,0.4226031997507634
NCX0239,Health Promotion & Maintenance,-0.100631762,0.5117142857142857,0.4220725404175345
NCX0240,Health Promotion & Maintenance,-0.963220654,0.683,0.3851156793573625
NCX0241,Health Promotion & Maintenance,-1.226370803,0.7401428571428571,0.383109787
NCX0242,Health Promotion & Maintenance,-0.918821086,0.6797142857142857,0.3956999232260078
NCX0243,Health Promotion & Maintenance,0.5238613102327958,0.3907142857142857,0.3962214945455055
NCX0244,Health Promotion & Maintenance,0.301916157,0.4387142857142857,0.4115807752802624
NCX0245,Health Promotion & Maintenance,2.164393040632336,0.1362857142857143,0.3199694251538147
NCX0246,Health Promotion & Maintenance,-2.112746565,0.8591428571428571,0.3166749304356892
NCX0247,Health Promotion & Maintenance,-1.036882204,0.701,0.3881953471936888
NCX0248,Health Promotion & Maintenance,0.065178314,0.4837142857142857,0.4045816939129281
NCX0249,Health Promotion & Maintenance,1.453067915541668,0.2292857142857143,0.3583192899448044
NCX0250,Health Promotion & Maintenance,0.185791483,0.4545714285714286,0.4167128298580839
NCX0251,Health Promotion & Maintenance,-0.999612787,0.7015714285714286,0.3987507716364005
NCX0252,Health Promotion & Maintenance,1.194301593310645,0.2642857142857143,0.3642139317189426
NCX0253,Health Promotion & Maintenance,1.805376008882686,0.1788571428571429,0.3268850072992456
NCX0254,Health Promotion & Maintenance,-0.684990399,0.6378571428571429,0.3947527212459737
NCX0255,Health Promotion & Maintenance,-0.221193725,0.549,0.4309324464559522
NCX0256,Health Promotion & Maintenance,0.5484216539706851,0.3825714285714286,0.4140890726776589
NCX0257,Health Promotion & Maintenance,-0.611322265,0.6185714285714285,0.3908151592608122
NCX0258,Health Promotion & Maintenance,-0.268352521,0.5527142857142857,0.395723364
NCX0259,Health Promotion & Maintenance,0.5121381041490101,0.3938571428571429,0.3829289580177034
